shared_samples	ENSG00000117394.19	ENSG00000158481.12	ENSG00000113520.10	ENSG00000152256.13	ENSG00000138755.5	ENSG00000136997.14	ENSG00000121879.3	ENSG00000089692.8	ENSG00000163606.10	ENSG00000163359.15	ENSG00000148848.14	ENSG00000067225.17	ENSG00000169554.16	ENSG00000091664.7	ENSG00000165556.9	ENSG00000168036.16	ENSG00000156510.12	ENSG00000115414.18	ENSG00000085733.15	ENSG00000141646.13	ENSG00000110092.3	ENSG00000105173.13	ENSG00000121594.11	ENSG00000213281.4	ENSG00000188676.13	ENSG00000105329.9	ENSG00000198848.12	ENSG00000109670.13	ENSG00000134258.16	ENSG00000117713.17	ENSG00000131203.12	ENSG00000197646.7	ENSG00000148516.21	ENSG00000133703.11	ENSG00000046774.9	ENSG00000139926.15	ENSG00000168646.12	ENSG00000157764.12	ENSG00000103460.16	ENSG00000101384.11	ENSG00000169248.12	ENSG00000112116.9	ENSG00000077782.19	ENSG00000186081.11	ENSG00000124469.10	ENSG00000039068.18	ENSG00000169245.5	ENSG00000115008.5	ENSG00000277632.1	ENSG00000134982.16	ENSG00000122359.17	ENSG00000122786.19	ENSG00000139292.12	ENSG00000111371.15	ENSG00000108821.13	ENSG00000120217.13	ENSG00000066468.20	ENSG00000100453.12	ENSG00000114013.15	ENSG00000141510.15	ENSG00000122691.12	ENSG00000135914.5	ENSG00000145113.21	ENSG00000100985.7	ENSG00000198286.9	ENSG00000141736.13	ENSG00000026508.16	paper_res
TCGA-A6-6653-01	TCGA-A6-2672-01	5.95768499488	-2.31476249101	-9.9658	3.65486495713	5.36352700235	4.00732046575	2.75619512579	1.18650233925	-1.31833834614	6.25482702222	3.2766697519	8.14149901912	4.46110807318	-9.9658	4.05277086529	7.28057075875	4.0206738282	7.59052789612	6.52641647243	4.70355702387	5.47883330769	2.14761130728	1.84236001121	2.88189233343	-3.23786489054	3.68440004015	0.975268049302	4.22002000954	-4.60819860798	5.15792097244	5.05137664255	0.840739807785	3.86799868707	2.98297899993	-7.380866483	1.94896167972	2.9328373423	3.50982873958	3.76616742359	4.19463336494	2.74866846975	-9.9658	2.62430559306	-1.99422554702	-1.73216924302	6.27697311866	4.72254471262	0.351609019261	3.13932632672	3.4549680928	7.18553631989	5.86443658499	2.95903151199	5.02151617718	8.20908586937	1.9564288399	1.70311534843	2.73358404643	2.52882362274	4.83975862737	0.311487862061	1.29629953678	6.15935281976	3.04807653438	0.379642542044	5.02019996454	7.82660159543	CMS1
TCGA-D5-6532-01	TCGA-A6-2674-01	6.29059362967	-3.4579515442	-3.23787873797	3.42166670851	1.76385503422	5.09425726474	3.27291529374	-0.746641965699	1.45731359217	7.17370162394	4.43401956864	7.12866860764	5.87908330149	-4.60819860798	3.40883440961	6.34785935351	2.74869848877	9.39633184954	5.83077451535	3.91032636925	5.58795614913	0.455214183336	1.00431423573	3.99873597914	-3.23789845966	2.00573185011	-0.190950791972	4.49986928738	-2.8783441915	2.47531455904	1.05378768384	1.70087436451	4.00949748614	4.59635988342	-2.50633142592	4.05193542014	2.66015116221	3.90459512919	3.11867366266	4.47097043284	0.926797775428	-3.92142870792	3.76454548357	-1.88366299858	-2.38836364336	5.66635393221	3.32709355836	3.26088288672	5.51398600862	2.41439660321	4.90216073475	7.08747488325	4.47088296491	4.92319955695	9.05202453097	2.55362960037	2.47793286242	0.551927846895	2.48823112063	1.80775108398	2.41708542283	1.92828316691	3.34137891804	5.46076901968	0.934319675405	3.12038984663	7.35717249381	CMS4
TCGA-AD-6963-01	TCGA-A6-2675-01	7.0889	0.044	-9.9658	1.6558	3.8441	8.4137	2.9281	1.2636	-0.6416	7.1418	3.6335	8.7728	3.5161	-9.9658	7.6762	7.9796	4.9089	8.9536	7.1622	5.0721	6.3651	3.2034	0.346	5.0661	-3.458	4.6537	4.3428	2.7095	-9.9658	4.6668	4.7187	0.8488	2.6805	3.9118	-9.9658	3.027	5.466	2.5972	4.7656	4.588	4.1069	-9.9658	4.3421	-2.3147	-4.6082	8.1722	5.0304	-0.4325	4.6753	1.5902	7.5595	6.993	5.5239	5.3442	10.3714	1.4756	3.5436	2.651	2.7931	4.1466	2.5462	-1.1488	5.044	6.0603	1.4962	6.7938	7.4346	CMS4
TCGA-AA-3655-01	TCGA-A6-2677-01	5.69116333922	-1.883600085	-9.9658	1.44146723486	-0.384615374293	5.59159101402	2.03422560526	-4.29337328605	0.556768965983	3.9364729116	0.674453259785	5.20398422986	3.11457117982	-5.01154203784	3.86350196924	5.92745900066	1.74026176722	5.38323765885	4.66511177032	3.42838980894	4.14700861241	0.637835728615	-1.41120204022	4.129364572	-5.96579642569	0.590751303237	2.60193001436	2.95811550519	-6.5064	1.19280041968	-1.10157776519	-1.78089772816	2.39122339981	3.06108046413	-5.96579642569	1.36229297039	4.57113982902	2.69841838748	2.08784093701	3.61307836365	-0.846817761808	-9.9658	1.1348532758	-5.01154203784	-3.23782948021	6.07418042088	0.379594162252	-0.72261261407	-0.320089031435	1.72070579633	3.75662144024	5.0913323911	3.87043740638	4.76665830736	4.61303844868	-1.26535925497	1.47562202374	3.60831286945	-0.174618602452	0.288066695055	-3.71789471734	0.804068519437	-0.224321218815	1.19598645705	0.26422010301	4.00773426859	5.37107771052	CMS2
TCGA-DM-A1D7-01	TCGA-A6-2682-01	8.2229	-0.9406	-9.9658	3.6486	0.8327	7.023	2.0979	0.346	-1.9942	5.8164	2.872	9.7891	2.5087	-9.9658	6.6152	7.6343	4.7971	9.1318	6.1485	3.9496	5.1607	2.7763	-0.7588	4.6804	-5.5735	4.0773	3.9421	2.1313	-9.9658	3.0774	1.5806	0.2522	1.884	3.9829	-6.5064	2.6441	5.3639	2.2813	4.1571	4.3328	0.2642	-2.1779	3.7269	-0.2159	-1.685	7.0653	2.2753	1.9601	4.7198	1.1641	7.0954	6.3922	3.8228	4.6018	9.1021	0.2522	1.949	5.1579	1.9149	6.229	2.8199	0.3907	1.8036	7.3317	2.3423	5.2631	6.7612	CMS4
TCGA-AY-6386-01	TCGA-A6-2684-01	7.12828201026	1.06649180547	-1.46991047507	2.49764248342	4.44720957111	5.88844797103	2.60747512512	0.617591153855	0.951815080224	6.18035323811	2.7021598267	8.65817689867	4.29036386818	-9.9658	5.60940761841	7.4739606257	4.33324969406	7.9881949522	5.88813351445	4.04330060128	5.65947604866	1.67401790984	0.717503608135	4.56503887186	-3.62596860107	3.48857704531	1.68449025214	3.07053497418	-4.73054668732	3.36613546898	3.84673663594	0.726229151484	3.97738489072	4.03100124199	-7.02721645241	2.64256319544	5.52963493586	3.06251533582	2.86547719656	3.90953333013	4.7297772922	-5.01156725235	3.3225225118	-1.65439231501	-2.7595552735	6.43677434643	5.53504401366	0.0625663825513	3.55347396137	1.83094110013	6.57002668996	7.43369604749	4.65198093747	5.17713117232	7.81225345248	1.59340602154	1.12279764172	2.28321528718	1.8722056682	4.44032929605	1.01511230704	2.15086302135	1.91748995948	4.27956334779	1.38090029894	4.31209870348	7.68658767657	CMS4
TCGA-DM-A280-01	TCGA-A6-2685-01	7.5926	1.674	-9.9658	1.816	1.2394	7.7068	2.3135	0.8327	0.2029	6.8178	2.2901	9.4939	3.6207	-6.5064	5.9028	7.7872	4.85	9.4295	6.4572	4.4457	6.2632	2.685	-0.2498	4.0653	-2.3884	4.845	3.6125	1.7954	-5.5735	4.0722	1.9415	0.4552	3.4156	4.2001	-9.9658	3.1637	5.3803	2.1702	4.3597	4.2503	0.8164	-9.9658	4.7209	-1.1811	-3.6259	7.718	2.9984	-1.8836	4.7176	1.9749	7.647	7.3571	4.4384	4.784	9.7791	-0.2671	2.9186	2.1013	3.0757	4.0233	1.7995	1.5661	3.637	5.1831	2.3135	5.8714	7.3557	CMS4
TCGA-AD-6965-01	TCGA-A6-3809-01	4.2690896388	-3.17138668151	-2.72741487228	3.53868094649	5.43396188454	5.50557769576	1.72292170077	-0.13446467763	-0.99709467552	5.22092449876	1.13815807391	7.52528718654	3.22046815219	-9.9658	3.43309334081	6.10649420401	2.54994649228	5.79927132004	5.15546327316	4.3813329296	4.83497229288	1.16090095917	0.812268613548	3.58686671468	-5.01154203784	1.45731906524	-0.0877252603233	4.2657684818	-5.96579642569	2.4753489961	2.48310383583	0.532087131884	1.98218925871	3.79713126904	-9.9658	1.25156660095	0.872632309959	2.38568252292	0.656245206191	2.71504165967	3.33930248387	-9.9658	0.872623608915	-2.24464799633	-9.9658	4.64300889376	5.84613128285	0.76637745397	3.93930470719	1.97488308032	5.43865013954	4.72663757013	-0.722592104411	5.44012476414	6.13740984932	2.03421953061	-1.28277604863	2.76577692072	2.42651024758	3.54548511015	0.215401054029	0.0299909790979	4.61181929388	1.40109817554	-1.3183381882	3.10365203892	6.90198381572	CMS1
TCGA-AD-A5EK-01	TCGA-A6-3810-01	5.02130214039	-2.27931338489	-9.9658	2.19723620577	3.83853367802	4.83143974342	3.73347374188	-2.35106705842	-0.403570058864	6.20000041726	2.88769723193	6.09551125988	4.30935907734	-6.50638501219	4.69940520565	6.57906002122	2.80344311133	7.75162232255	5.32374651058	4.53832412264	4.45814429408	0.138836443217	0.282151867081	4.31834810059	-3.38078829793	1.83635568467	-0.241285087881	4.46182834931	-4.44220121063	2.52634716761	1.74025192164	0.423277871991	3.81263158302	4.36327942972	-6.50638501219	2.59118375846	4.17835900167	3.34353676256	3.15314296366	3.65550190333	3.25716892225	-5.26538513648	2.47147133195	-2.93232534776	-3.81602413099	5.69265026192	3.82381027397	0.609745739921	2.37327128153	2.43454144581	5.27446914379	6.5537180079	4.36463689593	5.05966064724	7.50948902762	0.828629658608	1.4387874702	1.4677889035	1.62105948775	4.21149255843	0.651665505744	1.56365333179	3.00466527467	2.61850252419	2.84221306752	4.13429097314	6.10792019649	CMS4
TCGA-D5-5538-01	TCGA-A6-5656-01	4.56443826721	-1.0360401378	-2.93240166957	2.18724593991	2.19670369209	6.78856086718	2.89031945499	-1.23671561469	1.22301005767	5.84452601956	2.89032486682	7.27088878153	4.51548861897	-5.57342190403	6.37223239795	7.44141843308	4.22166536548	6.79333510587	6.98579865834	4.14985558445	5.79738104815	2.40264798776	-0.47862223086	4.86678727372	-3.74989049245	2.11024551511	0.397992335939	3.90022810009	-2.75953475187	3.33594747328	0.160509692805	-0.067460877458	3.68009933566	4.222468074	-4.20205101751	2.28716194569	5.39006056184	3.7104662791	3.25616938298	3.88111177755	1.57901828875	-2.82622518214	2.62860503099	-2.31472439163	-2.31476941928	6.82776779629	2.68578644573	-0.750631967837	0.951801759879	2.48224910934	6.68994195121	6.51806686794	3.75357674617	5.57018413696	6.47237465088	0.315405590108	0.412509758285	4.40835051118	0.708715959745	4.22559009902	0.660852747256	1.77583552937	0.582734131688	4.41918087397	-1.71626065121	5.30770742254	6.13323646157	CMS2
